surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,32,A,20160104,105062,Mikhail Kukushkin,R,183.0,28.0,104797,Denis Istomin,R,188.0,29.3,6-2 7-5,R32,65.0,762.0,61.0,781.0
Hard,32,A,20160104,103285,Radek Stepanek,R,185.0,37.1,105583,Dusan Lajovic,R,180.0,25.5,6-0 6-3,R32,197.0,252.0,76.0,678.0
Hard,32,A,20160104,106071,Bernard Tomic,R,193.0,23.2,103917,Nicolas Mahut,R,190.0,33.9,6-4 6-3,R32,18.0,1675.0,71.0,710.0
Hard,32,A,20160104,104471,Ivan Dodig,R,183.0,31.0,117352,Oliver Anderson,U,,17.6,6-3 6-2,R32,87.0,636.0,813.0,25.0
Hard,32,A,20160104,106298,Lucas Pouille,R,185.0,21.8,106415,Yoshihito Nishioka,L,170.0,20.2,4-6 6-3 7-5,R32,78.0,672.0,117.0,495.0
Hard,32,A,20160104,105676,David Goffin,R,180.0,25.0,105064,Thomaz Bellucci,L,188.0,28.0,6-4 6-4,R32,16.0,1880.0,37.0,1105.0
Hard,32,A,20160104,106233,Dominic Thiem,R,185.0,22.3,105902,James Duckworth,R,183.0,23.9,3-6 6-4 6-3,R32,20.0,1600.0,120.0,485.0
Hard,32,A,20160104,106045,Denis Kudla,R,180.0,23.3,105441,John Patrick Smith,L,188.0,26.9,4-6 6-3 6-2,R32,69.0,719.0,129.0,459.0
Hard,32,A,20160104,111202,Hyeon Chung,R,188.0,19.6,105032,Sam Groth,R,193.0,28.2,7-6(8) 6-4,R32,51.0,817.0,60.0,782.0
Hard,32,A,20160104,105777,Grigor Dimitrov,R,188.0,24.6,104468,Gilles Simon,R,183.0,31.0,6-3 7-6(10),R32,28.0,1360.0,15.0,2145.0
Hard,32,A,20160104,104678,Viktor Troicki,R,193.0,29.8,105449,Steve Johnson,R,188.0,26.0,7-6(3) 6-1,R32,22.0,1487.0,32.0,1240.0
Hard,32,A,20160104,104735,Tobias Kamke,R,180.0,29.6,106093,Benjamin Mitchell,R,183.0,23.0,6-2 6-4,R32,277.0,185.0,231.0,225.0
Hard,32,A,20160104,105453,Kei Nishikori,R,178.0,26.0,105062,Mikhail Kukushkin,R,183.0,28.0,6-3 6-4,R16,8.0,4235.0,65.0,762.0
Hard,32,A,20160104,106071,Bernard Tomic,R,193.0,23.2,103285,Radek Stepanek,R,185.0,37.1,7-6(6) 4-6 7-6(4),R16,18.0,1675.0,197.0,252.0
Hard,32,A,20160104,105683,Milos Raonic,R,196.0,25.0,104471,Ivan Dodig,R,183.0,31.0,6-7(2) 6-1 6-4,R16,14.0,2170.0,87.0,636.0
Hard,32,A,20160104,106298,Lucas Pouille,R,185.0,21.8,105676,David Goffin,R,180.0,25.0,7-6(5) 4-6 6-3,R16,78.0,672.0,16.0,1880.0
Hard,32,A,20160104,106233,Dominic Thiem,R,185.0,22.3,106045,Denis Kudla,R,180.0,23.3,6-3 6-2,R16,20.0,1600.0,69.0,719.0
Hard,32,A,20160104,105227,Marin Cilic,R,198.0,27.2,111202,Hyeon Chung,R,188.0,19.6,7-5 7-6(3),R16,13.0,2405.0,51.0,817.0
Hard,32,A,20160104,105777,Grigor Dimitrov,R,188.0,24.6,104678,Viktor Troicki,R,193.0,29.8,5-7 7-6(6) 6-2,R16,28.0,1360.0,22.0,1487.0
Hard,32,A,20160104,103819,Roger Federer,R,185.0,34.4,104735,Tobias Kamke,R,180.0,29.6,6-2 6-1,R16,3.0,8265.0,277.0,185.0
Hard,32,A,20160104,106071,Bernard Tomic,R,193.0,23.2,105453,Kei Nishikori,R,178.0,26.0,6-3 1-6 6-3,QF,18.0,1675.0,8.0,4235.0
Hard,32,A,20160104,105683,Milos Raonic,R,196.0,25.0,106298,Lucas Pouille,R,185.0,21.8,6-4 6-4,QF,14.0,2170.0,78.0,672.0
Hard,32,A,20160104,106233,Dominic Thiem,R,185.0,22.3,105227,Marin Cilic,R,198.0,27.2,2-6 7-6(4) 6-4,QF,20.0,1600.0,13.0,2405.0
Hard,32,A,20160104,103819,Roger Federer,R,185.0,34.4,105777,Grigor Dimitrov,R,188.0,24.6,6-4 6-7(4) 6-4,QF,3.0,8265.0,28.0,1360.0
Hard,32,A,20160104,105683,Milos Raonic,R,196.0,25.0,106071,Bernard Tomic,R,193.0,23.2,7-6(5) 7-6(5),SF,14.0,2170.0,18.0,1675.0
Hard,32,A,20160104,103819,Roger Federer,R,185.0,34.4,106233,Dominic Thiem,R,185.0,22.3,6-1 6-4,SF,3.0,8265.0,20.0,1600.0
Hard,32,A,20160104,105683,Milos Raonic,R,196.0,25.0,103819,Roger Federer,R,185.0,34.4,6-4 6-4,F,14.0,2170.0,3.0,8265.0
Hard,32,A,20160104,106368,Ramkumar Ramanathan,R,188.0,21.1,104593,Daniel Gimeno Traver,R,185.0,30.4,6-2 6-0,R32,248.0,209.0,98.0,590.0
Hard,32,A,20160104,104563,Luca Vanni,R,198.0,30.5,105526,Jan Lennard Struff,R,193.0,25.6,6-4 7-6(5),R32,106.0,552.0,107.0,547.0
Hard,32,A,20160104,105379,Aljaz Bedene,R,181.0,26.4,105577,Vasek Pospisil,R,193.0,25.5,7-5 7-6(6),R32,45.0,939.0,39.0,1075.0
Hard,32,A,20160104,105357,John Millman,R,183.0,26.5,105539,Evgeny Donskoy,R,185.0,25.6,6-7(5) 6-4 7-6(6),R32,92.0,611.0,91.0,615.0
Hard,32,A,20160104,105572,Austin Krajicek,L,188.0,25.5,104330,Rajeev Ram,R,193.0,31.7,6-7(0) 6-4 6-4,R32,104.0,559.0,89.0,623.0
Hard,32,A,20160104,106432,Borna Coric,R,188.0,19.1,104719,Marcel Granollers,R,190.0,29.7,7-6(5) 2-6 6-4,R32,44.0,941.0,84.0,645.0
Hard,32,A,20160104,104180,Gilles Muller,L,193.0,32.6,111575,Karen Khachanov,R,198.0,19.6,6-7(3) 7-6(4) 6-2,R32,38.0,1105.0,152.0,379.0
Hard,32,A,20160104,105341,Thomas Fabbiano,R,173.0,26.6,106075,Jozef Kovalik,R,183.0,23.1,1-6 6-3 6-4,R32,157.0,362.0,259.0,203.0
Hard,32,A,20160104,104586,Lukas Rosol,R,196.0,30.4,105053,Santiago Giraldo,R,188.0,28.1,6-3 6-4,R32,55.0,797.0,70.0,716.0
Hard,32,A,20160104,104198,Guillermo Garcia Lopez,R,188.0,32.5,106121,Taro Daniel,R,191.0,22.9,4-6 7-5 6-2,R32,27.0,1430.0,96.0,603.0
Hard,32,A,20160104,105302,Ante Pavic,R,196.0,26.8,104597,Nicolas Almagro,R,183.0,30.3,3-6 7-5 7-6(1),R32,449.0,90.0,73.0,694.0
Hard,32,A,20160104,126094,Andrey Rublev,R,188.0,18.2,104500,Somdev Devvarman,R,180.0,30.8,6-3 3-6 6-3,R32,185.0,270.0,177.0,284.0
Hard,32,A,20160104,106368,Ramkumar Ramanathan,R,188.0,21.1,104628,Alexander Kudryavtsev,R,183.0,30.1,3-6 6-4 6-4,R16,248.0,209.0,164.0,321.0
Hard,32,A,20160104,105379,Aljaz Bedene,R,181.0,26.4,104563,Luca Vanni,R,198.0,30.5,5-7 6-3 6-4,R16,45.0,939.0,106.0,552.0
Hard,32,A,20160104,105138,Roberto Bautista Agut,R,183.0,27.7,105357,John Millman,R,183.0,26.5,6-4 6-1,R16,25.0,1480.0,92.0,611.0
Hard,32,A,20160104,106432,Borna Coric,R,188.0,19.1,105572,Austin Krajicek,L,188.0,25.5,6-2 7-5,R16,44.0,941.0,104.0,559.0
Hard,32,A,20160104,105341,Thomas Fabbiano,R,173.0,26.6,104180,Gilles Muller,L,193.0,32.6,6-4 7-5,R16,157.0,362.0,38.0,1105.0
Hard,32,A,20160104,105332,Benoit Paire,R,196.0,26.6,104586,Lukas Rosol,R,196.0,30.4,7-5 7-5,R16,19.0,1633.0,55.0,797.0
Hard,32,A,20160104,104198,Guillermo Garcia Lopez,R,188.0,32.5,105302,Ante Pavic,R,196.0,26.8,7-6(5) 6-1,R16,27.0,1430.0,449.0,90.0
Hard,32,A,20160104,104527,Stan Wawrinka,R,183.0,30.7,126094,Andrey Rublev,R,188.0,18.2,6-3 6-2,R16,4.0,6865.0,185.0,270.0
Hard,32,A,20160104,105379,Aljaz Bedene,R,181.0,26.4,106368,Ramkumar Ramanathan,R,188.0,21.1,6-7(5) 6-4 6-3,QF,45.0,939.0,248.0,209.0
Hard,32,A,20160104,106432,Borna Coric,R,188.0,19.1,105138,Roberto Bautista Agut,R,183.0,27.7,3-6 6-4 7-6(1),QF,44.0,941.0,25.0,1480.0
