surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,64,A,20210724,126207,Frances Tiafoe,R,188.0,23.4,126952,Soon Woo Kwon,R,180.0,23.6,6-3 6-2,R64,53.0,1228.0,71.0,996.0
Hard,64,A,20210724,105526,Jan Lennard Struff,R,193.0,31.2,106329,Thiago Monteiro,L,183.0,27.1,6-3 6-4,R64,48.0,1410.0,95.0,829.0
Hard,64,A,20210724,111576,Sumit Nagal,R,178.0,23.9,104797,Denis Istomin,R,188.0,34.8,6-4 6-7(6) 6-4,R64,160.0,471.0,197.0,354.0
Hard,64,A,20210724,105357,John Millman,R,183.0,32.0,207518,Lorenzo Musetti,R,185.0,19.3,6-3 6-4,R64,44.0,1476.0,61.0,1106.0
Hard,64,A,20210724,207830,Tomas Machac,R,183.0,20.7,105311,Joao Sousa,R,185.0,32.3,6-7(5) 6-4 6-4,R64,145.0,525.0,137.0,570.0
Hard,64,A,20210724,105062,Mikhail Kukushkin,R,183.0,33.5,105948,Federico Coria,R,180.0,29.3,7-6(4) 7-5,R64,123.0,652.0,62.0,1063.0
Hard,64,A,20210724,136440,Dominik Koepfer,L,180.0,27.2,105487,Facundo Bagnis,L,183.0,31.3,3-6 6-3 7-5,R64,57.0,1153.0,80.0,916.0
Hard,64,A,20210724,200175,Miomir Kecmanovic,R,183.0,21.8,111794,Kamil Majchrzak,R,183.0,25.5,6-4 6-2,R64,50.0,1309.0,115.0,722.0
Hard,64,A,20210724,106218,Marcos Giron,R,180.0,27.9,105613,Norbert Gombos,R,193.0,30.9,7-6 3-6 6-2,R64,64.0,1047.0,98.0,812.0
Hard,64,A,20210724,106078,Egor Gerasimov,R,196.0,28.6,104468,Gilles Simon,R,183.0,36.5,4-6 6-3 6-4,R64,79.0,926.0,102.0,779.0
Hard,64,A,20210724,123755,Daniel Elahi Galan,R,191.0,25.0,105633,Mohamed Safwat,R,183.0,30.8,7-5 6-1,R64,113.0,727.0,171.0,424.0
Hard,64,A,20210724,105902,James Duckworth,R,183.0,29.4,127760,Lukas Klein,R,193.0,23.3,5-7 6-3 7-6(4),R64,77.0,933.0,246.0,268.0
Hard,64,A,20210724,105227,Marin Cilic,R,198.0,32.8,110778,Joao Menezes,R,185.0,24.5,6-7(5) 7-5 7-6(7),R64,36.0,1705.0,217.0,319.0
Hard,64,A,20210724,104871,Jeremy Chardy,R,188.0,34.4,144642,Tomas Barrios Vera,R,191.0,23.6,6-1 7-6(4),R64,68.0,1019.0,195.0,362.0
Hard,64,A,20210724,106281,Liam Broady,L,183.0,27.5,202103,Francisco Cerundolo,R,185.0,22.9,7-5 6-7(4) 6-2,R64,142.0,538.0,116.0,698.0
Hard,64,A,20210724,105932,Nikoloz Basilashvili,R,185.0,29.4,106148,Roberto Carballes Baena,R,183.0,28.3,6-3 6-2,R64,42.0,1565.0,90.0,841.0
Hard,64,A,20210724,200221,Alejandro Davidovich Fokina,R,183.0,22.1,105155,Pedro Sousa,R,180.0,33.1,6-3 6-0,R64,35.0,1723.0,120.0,679.0
Hard,64,A,20210724,104926,Fabio Fognini,R,178.0,34.1,105216,Yuichi Sugita,R,173.0,32.8,6-4 6-3,R64,31.0,1801.0,114.0,724.0
